Timestamp: 1275, MouseX: 413, MouseY: 273, CurrentScenario: 0
Timestamp: 2488, MouseX: 633, MouseY: 471, CurrentScenario: 1
Timestamp: 2654, MouseX: 658, MouseY: 356, CurrentScenario: 1
Timestamp: 2836, MouseX: 684, MouseY: 202, CurrentScenario: 1
Timestamp: 4547, MouseX: 665, MouseY: 152, CurrentScenario: 1
Timestamp: 5080, MouseX: 667, MouseY: 110, CurrentScenario: 1
Timestamp: 5631, MouseX: 501, MouseY: 274, CurrentScenario: 1
Timestamp: 6431, MouseX: 406, MouseY: 436, CurrentScenario: 1
Timestamp: 7166, MouseX: 345, MouseY: 546, CurrentScenario: 1
Timestamp: 7647, MouseX: 217, MouseY: 564, CurrentScenario: 1
Timestamp: 8330, MouseX: 217, MouseY: 617, CurrentScenario: 1
Timestamp: 8564, MouseX: 310, MouseY: 686, CurrentScenario: 1
Timestamp: 9320, MouseX: 295, MouseY: 741, CurrentScenario: 1
Timestamp: 9771, MouseX: 268, MouseY: 710, CurrentScenario: 1
Timestamp: 10539, MouseX: 259, MouseY: 674, CurrentScenario: 1
Timestamp: 11039, MouseX: 226, MouseY: 700, CurrentScenario: 1
Timestamp: 11566, MouseX: 209, MouseY: 594, CurrentScenario: 1
Timestamp: 12181, MouseX: 277, MouseY: 667, CurrentScenario: 1
Timestamp: 12616, MouseX: 526, MouseY: 707, CurrentScenario: 1
Timestamp: 14098, MouseX: 670, MouseY: 756, CurrentScenario: 1
Timestamp: 14641, MouseX: 427, MouseY: 422, CurrentScenario: 0
Timestamp: 14980, MouseX: 445, MouseY: 388, CurrentScenario: 0
Timestamp: 16143, MouseX: 417, MouseY: 313, CurrentScenario: 2
Timestamp: 16911, MouseX: 653, MouseY: 764, CurrentScenario: 2
Timestamp: 17476, MouseX: 438, MouseY: 493, CurrentScenario: 0
Timestamp: 18327, MouseX: 642, MouseY: 604, CurrentScenario: 3
Timestamp: 18696, MouseX: 577, MouseY: 305, CurrentScenario: 3
Timestamp: 19345, MouseX: 342, MouseY: 311, CurrentScenario: 3
Timestamp: 19948, MouseX: 704, MouseY: 766, CurrentScenario: 3
